# binary black hole Inspiral Simulation
# m1_solar=36.0
# m2_solar=29.0
# r_horizon_1_m=106320.21775440763
# r_horizon_2_m=85646.84207993947
# distance_mpc=410.0
# pn_order=2.5
# eccentricity=0.5
t_sec,bh1_x_m,bh1_y_m,bh1_z_m,bh2_x_m,bh2_y_m,bh2_z_m,separation_m,velocity_m_s,f_gw_hz,phase_rad,h_plus,h_cross
1.1223711950e-02,2.2204429664e+06,1.4683956594e+05,0.0000000000e+00,-2.7564119583e+06,-1.8228359909e+05,-0.0000000000e+00,4.9877256339e+06,2.9519420396e+07,2.6540882268e+00,6.6034602739e-02,1.4305020849e-22,1.9003142078e-23
1.1407707228e-02,2.2201014822e+06,1.4923884201e+05,0.0000000000e+00,-2.7559880469e+06,-1.8526201077e+05,-0.0000000000e+00,4.9873197032e+06,2.9524330755e+07,2.6544122679e+00,6.7120651835e-02,1.4302023421e-22,1.9315388105e-23
1.1591702506e-02,2.2197544361e+06,1.5163773049e+05,0.0000000000e+00,-2.7555572310e+06,-1.8823994129e+05,-0.0000000000e+00,4.9869071594e+06,2.9529321102e+07,2.6547416557e+00,6.8206873029e-02,1.4298976309e-22,1.9627669073e-23
1.1775697784e-02,2.2194018275e+06,1.5403622504e+05,0.0000000000e+00,-2.7551195100e+06,-1.9121738281e+05,-0.0000000000e+00,4.9864880017e+06,2.9534391443e+07,2.6550763940e+00,6.9293269147e-02,1.4295879467e-22,1.9939985532e-23
1.1959693062e-02,2.2190436560e+06,1.5643431936e+05,0.0000000000e+00,-2.7546748833e+06,-1.9419432748e+05,-0.0000000000e+00,4.9860622295e+06,2.9539541780e+07,2.6554164865e+00,7.0379843016e-02,1.4292732847e-22,2.0252338034e-23
1.2143688340e-02,2.2186799212e+06,1.5883200710e+05,0.0000000000e+00,-2.7542233504e+06,-1.9717076743e+05,-0.0000000000e+00,4.9856298423e+06,2.9544772120e+07,2.6557619373e+00,7.1466597467e-02,1.4289536404e-22,2.0564727129e-23
1.2327683617e-02,2.2183106225e+06,1.6122928193e+05,0.0000000000e+00,-2.7537649107e+06,-2.0014669481e+05,-0.0000000000e+00,4.9851908393e+06,2.9550082466e+07,2.6561127502e+00,7.2553535330e-02,1.4286290087e-22,2.0877153366e-23
1.2511678895e-02,2.2179357595e+06,1.6362613753e+05,0.0000000000e+00,-2.7532995635e+06,-2.0312210176e+05,-0.0000000000e+00,4.9847452200e+06,2.9555472823e+07,2.6564689294e+00,7.3640659441e-02,1.4282993848e-22,2.1189617293e-23
1.2695674173e-02,2.2175553317e+06,1.6602256754e+05,0.0000000000e+00,-2.7528273083e+06,-2.0609698039e+05,-0.0000000000e+00,4.9842929836e+06,2.9560943196e+07,2.6568304789e+00,7.4727972638e-02,1.4279647637e-22,2.1502119460e-23
1.2879669451e-02,2.2171693386e+06,1.6841856562e+05,0.0000000000e+00,-2.7523481445e+06,-2.0907132284e+05,-0.0000000000e+00,4.9838341295e+06,2.9566493590e+07,2.6571974029e+00,7.5815477759e-02,1.4276251404e-22,2.1814660412e-23
1.3063664729e-02,2.2167777797e+06,1.7081412543e+05,0.0000000000e+00,-2.7518620713e+06,-2.1204512123e+05,-0.0000000000e+00,4.9833686570e+06,2.9572124010e+07,2.6575697057e+00,7.6903177647e-02,1.4272805096e-22,2.2127240696e-23
1.3247660007e-02,2.2163806544e+06,1.7320924062e+05,0.0000000000e+00,-2.7513690882e+06,-2.1501836767e+05,-0.0000000000e+00,4.9828965654e+06,2.9577834461e+07,2.6579473914e+00,7.7991075146e-02,1.4269308662e-22,2.2439860860e-23
1.3431655285e-02,2.2159779623e+06,1.7560390482e+05,0.0000000000e+00,-2.7508691946e+06,-2.1799105426e+05,-0.0000000000e+00,4.9824178540e+06,2.9583624949e+07,2.6583304646e+00,7.9079173103e-02,1.4265762049e-22,2.2752521447e-23
1.3615650563e-02,2.2155697028e+06,1.7799811168e+05,0.0000000000e+00,-2.7503623897e+06,-2.2096317313e+05,-0.0000000000e+00,4.9819325220e+06,2.9589495478e+07,2.6587189295e+00,8.0167474370e-02,1.4262165203e-22,2.3065223002e-23
1.3799645840e-02,2.2151558754e+06,1.8039185484e+05,0.0000000000e+00,-2.7498486729e+06,-2.2393471635e+05,-0.0000000000e+00,4.9814405688e+06,2.9595446054e+07,2.6591127908e+00,8.1255981797e-02,1.4258518069e-22,2.3377966069e-23
1.3983641118e-02,2.2147364795e+06,1.8278512792e+05,0.0000000000e+00,-2.7493280436e+06,-2.2690567603e+05,-0.0000000000e+00,4.9809419937e+06,2.9601476683e+07,2.6595120528e+00,8.2344698240e-02,1.4254820592e-22,2.3690751191e-23
1.4167636396e-02,2.2143115147e+06,1.8517792455e+05,0.0000000000e+00,-2.7488005010e+06,-2.2987604426e+05,-0.0000000000e+00,4.9804367958e+06,2.9607587370e+07,2.6599167203e+00,8.3433626558e-02,1.4251072716e-22,2.4003578909e-23
1.4351631674e-02,2.2138809803e+06,1.8757023835e+05,0.0000000000e+00,-2.7482660445e+06,-2.3284581312e+05,-0.0000000000e+00,4.9799249744e+06,2.9613778121e+07,2.6603267979e+00,8.4522769611e-02,1.4247274384e-22,2.4316449766e-23
1.4535626952e-02,2.2134448757e+06,1.8996206294e+05,0.0000000000e+00,-2.7477246733e+06,-2.3581497469e+05,-0.0000000000e+00,4.9794065288e+06,2.9620048942e+07,2.6607422904e+00,8.5612130263e-02,1.4243425539e-22,2.4629364302e-23
1.4719622230e-02,2.2130032005e+06,1.9235339194e+05,0.0000000000e+00,-2.7471763868e+06,-2.3878352103e+05,-0.0000000000e+00,4.9788814582e+06,2.9626399839e+07,2.6611632025e+00,8.6701711380e-02,1.4239526122e-22,2.4942323056e-23
1.4903617508e-02,2.2125559539e+06,1.9474421896e+05,0.0000000000e+00,-2.7466211842e+06,-2.4175144422e+05,-0.0000000000e+00,4.9783497618e+06,2.9632830817e+07,2.6615895392e+00,8.7791515831e-02,1.4235576073e-22,2.5255326567e-23
1.5087612785e-02,2.2121031355e+06,1.9713453759e+05,0.0000000000e+00,-2.7460590648e+06,-2.4471873632e+05,-0.0000000000e+00,4.9778114388e+06,2.9639341883e+07,2.6620213053e+00,8.8881546490e-02,1.4231575334e-22,2.5568375374e-23
1.5271608063e-02,2.2116447447e+06,1.9952434144e+05,0.0000000000e+00,-2.7454900279e+06,-2.4768538938e+05,-0.0000000000e+00,4.9772664884e+06,2.9645933043e+07,2.6624585059e+00,8.9971806231e-02,1.4227523842e-22,2.5881470014e-23
1.5455603341e-02,2.2111807808e+06,2.0191362411e+05,0.0000000000e+00,-2.7449140727e+06,-2.5065139544e+05,-0.0000000000e+00,4.9767149098e+06,2.9652604303e+07,2.6629011461e+00,9.1062297933e-02,1.4223421536e-22,2.6194611022e-23
1.5639598619e-02,2.2107112432e+06,2.0430237917e+05,0.0000000000e+00,-2.7443311985e+06,-2.5361674656e+05,-0.0000000000e+00,4.9761567022e+06,2.9659355670e+07,2.6633492309e+00,9.2153024476e-02,1.4219268355e-22,2.6507798935e-23
1.5823593897e-02,2.2102361314e+06,2.0669060023e+05,0.0000000000e+00,-2.7437414044e+06,-2.5658143477e+05,-0.0000000000e+00,4.9755918647e+06,2.9666187151e+07,2.6638027655e+00,9.3243988747e-02,1.4215064234e-22,2.6821034287e-23
1.6007589175e-02,2.2097554446e+06,2.0907828086e+05,0.0000000000e+00,-2.7431446898e+06,-2.5954545210e+05,-0.0000000000e+00,4.9750203964e+06,2.9673098751e+07,2.6642617553e+00,9.4335193632e-02,1.4210809110e-22,2.7134317612e-23
1.6191584453e-02,2.2092691823e+06,2.1146541463e+05,0.0000000000e+00,-2.7425410539e+06,-2.6250879057e+05,-0.0000000000e+00,4.9744422966e+06,2.9680090478e+07,2.6647262055e+00,9.5426642021e-02,1.4206502919e-22,2.7447649443e-23
1.6375579731e-02,2.2087773438e+06,2.1385199511e+05,0.0000000000e+00,-2.7419304958e+06,-2.6547144221e+05,-0.0000000000e+00,4.9738575644e+06,2.9687162339e+07,2.6651961216e+00,9.6518336811e-02,1.4202145594e-22,2.7761030310e-23
1.6559575008e-02,2.2082799286e+06,2.1623801588e+05,0.0000000000e+00,-2.7413130148e+06,-2.6843339902e+05,-0.0000000000e+00,4.9732661989e+06,2.9694314341e+07,2.6656715090e+00,9.7610280896e-02,1.4197737069e-22,2.8074460746e-23
1.6743570286e-02,2.2077769358e+06,2.1862347048e+05,0.0000000000e+00,-2.7406886100e+06,-2.7139465301e+05,-0.0000000000e+00,4.9726681992e+06,2.9701546490e+07,2.6661523732e+00,9.8702477179e-02,1.4193277277e-22,2.8387941280e-23
1.6927565564e-02,2.2072683649e+06,2.2100835248e+05,0.0000000000e+00,-2.7400572806e+06,-2.7435519618e+05,-0.0000000000e+00,4.9720635644e+06,2.9708858795e+07,2.6666387198e+00,9.9794928563e-02,1.4188766149e-22,2.8701472441e-23
1.7111560842e-02,2.2067542152e+06,2.2339265542e+05,0.0000000000e+00,-2.7394190258e+06,-2.7731502052e+05,-0.0000000000e+00,4.9714522936e+06,2.9716251261e+07,2.6671305545e+00,1.0088763796e-01,1.4184203619e-22,2.9015054756e-23
1.7295556120e-02,2.2062344861e+06,2.2577637285e+05,0.0000000000e+00,-2.7387738448e+06,-2.8027411802e+05,-0.0000000000e+00,4.9708343859e+06,2.9723723898e+07,2.6676278830e+00,1.0198060827e-01,1.4179589615e-22,2.9328688754e-23
1.7479551398e-02,2.2057091768e+06,2.2815949831e+05,0.0000000000e+00,-2.7381217367e+06,-2.8323248066e+05,-0.0000000000e+00,4.9702098404e+06,2.9731276711e+07,2.6681307111e+00,1.0307384241e-01,1.4174924067e-22,2.9642374960e-23
1.7663546676e-02,2.2051782866e+06,2.3054202533e+05,0.0000000000e+00,-2.7374627007e+06,-2.8619010041e+05,-0.0000000000e+00,4.9695786561e+06,2.9738909710e+07,2.6686390446e+00,1.0416734331e-01,1.4170206904e-22,2.9956113898e-23
1.7847541954e-02,2.2046418150e+06,2.3292394743e+05,0.0000000000e+00,-2.7367967358e+06,-2.8914696923e+05,-0.0000000000e+00,4.9689408321e+06,2.9746622902e+07,2.6691528895e+00,1.0526111388e-01,1.4165438054e-22,3.0269906093e-23
1.8031537231e-02,2.2040997610e+06,2.3530525815e+05,0.0000000000e+00,-2.7361238413e+06,-2.9210307908e+05,-0.0000000000e+00,4.9682963675e+06,2.9754416294e+07,2.6696722517e+00,1.0635515705e-01,1.4160617445e-22,3.0583752068e-23
